ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
-2.549,1,167.85,0,0,1,0,-1.74,ClC(Cl)C(Cl)Cl
-4.228,1,283.331,1,3,2,54.46,-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
-4.87,1,192.261,0,3,0,0,-5.84,Cc1ccc2c(ccc3ccccc32)c1
-4.378,1,278.348,0,1,8,52.6,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC 
-4.299,1,261.919,1,1,1,29.46,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl 
-2.426,1,299.691,0,0,8,65.07,0.523,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl
-3.555,1,268.356,1,4,0,37.3,-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
-3.719,1,414.827,1,2,8,127.79,-4.576,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
-2.522,1,153.137,0,1,2,52.37,-2.41,COc1ccc(cc1)N(=O)=O
-2.648,1,120.623,0,0,4,0,-3.12,CCCCCCCl
-8.468,1,429.772,0,2,1,0,-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
0.496,1,504.438,11,3,8,268.68,-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O
-9.702,1,366.718,0,0,23,0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
-3.471,1,253.305,0,3,1,36.44,-3.324,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
-1.576,1,98.96,0,0,0,0,-1.29,CC(Cl)Cl
-0.954,1,172.209,2,1,1,86.18,-1.34,Nc1ccc(cc1)S(N)(=O)=O
-5.306,1,309.366,0,1,8,89.52,-6.49,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O
-4.009,1,290.832,0,1,0,0,-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
-4.538,1,345.401,1,1,8,56.79,-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
-4.008,1,181.449,0,1,0,0,-4,Clc1cccc(Cl)c1Cl
-2.607,1,153.823,0,0,0,0,-2.31,ClC(Cl)(Cl)Cl
-3.448,1,192.001,0,1,1,43.14,-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1
-2.14,1,128.215,1,1,0,20.23,-1.29,OC1CCCCCCC1
-4.073,1,302.458,1,4,0,37.3,-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-2.167,1,180.207,2,1,3,64.35,-2.17,CCOc1ccc(NC(N)=O)cc1
-3.305,1,112.216,0,1,0,0,-4.47,C/C1CCC(\C)CC1
-2.994,2,180.21,0,3,0,25.78,-2.68,c1cnc2c(c1)ccc3ncccc23
-0.984,1,88.15,0,0,0,9.23,-0.24,COC(C)(C)C
-3.254,1,148.205,0,1,2,9.23,-3.13,COc1ccc(C=CC)cc1
-4.94,1,242.447,1,0,14,20.23,-7,CCCCCCCCCCCCCCCCO
-0.441,1,112.088,2,1,0,65.72,-1.488,O=c1cc[nH]c(=O)[nH]1 
-1.255,1,135.13,2,2,0,80.48,-2.12,Nc1ncnc2nc[nH]c12 
-6.709,1,326.437,0,2,1,0,-7.21,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl 
-2.181,1,256.305,1,3,4,55.24,-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
-6.007,2,252.316,0,5,0,0,-8.23,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54
-3.611,1,212.252,2,2,2,41.13,-3.15,O=C(Nc1ccccc1)Nc2ccccc2
-2.272,1,232.239,2,2,2,75.27,-2.322,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 
-5.686,1,257.547,0,2,1,0,-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
-2.867,1,206.289,1,1,2,32.34,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1
-2.231,1,259.762,0,1,5,46.09,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1
-1.365,1,102.177,1,0,2,20.23,-1.04,CCC(C)(C)CO
-1.899,1,130.187,0,0,4,26.3,-1.75,CCCOC(=O)CCC
-2.606,1,227.132,0,1,3,129.42,-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
-4.99,1,397.524,1,1,10,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
-2.916,2,98.189,0,1,0,0,-3.51,C1CCCCCC1
-0.757,1,88.106,0,0,3,26.3,-0.49,CCCOC=O
-3.585,1,134.222,0,1,1,0,-3.76,CC(C)c1ccccc1C
-2.392,1,127.574,1,1,0,26.02,-1.37,Nc1cccc(Cl)c1
-2.938,1,100.205,0,0,2,0,-4.26,CC(C)CC(C)C
-4.201,2,168.195,0,3,0,13.14,-4.6,o1c2ccccc2c3ccccc13
-3.184,1,286.349,0,2,4,61.83,-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
-3.065,1,232.205,1,1,1,32.34,-3.43,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
-3.846,2,179.222,0,3,0,12.89,-3.67,c3ccc2nc1ccccc1cc2c3
-2.893,1,360.45,2,4,2,91.67,-3.11,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
0.501,1,180.156,5,1,1,110.38,0.74,OCC1OC(O)C(O)C(O)C1O
-2.313,1,108.14,1,1,0,20.23,-0.68,Cc1cccc(O)c1
-4.345,1,365.842,2,3,3,92.5,-3.586,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
-4.731,1,404.547,1,3,6,72.83,-6.005,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
-2.281,1,168.108,0,1,2,86.28,-3.39,O=N(=O)c1ccc(cc1)N(=O)=O
-2.781,1,262.309,2,3,2,75.27,-2.696,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3
-3.671,1,200.322,0,0,9,26.3,-4.1,CCCCCCCCCC(=O)OCC
-1.847,1,164.208,1,1,1,32.34,-1.6,CN(C)C(=O)Nc1ccccc1
-1.072,1,88.15,0,0,3,9.23,-0.66,CCCOCC
-0.261,1,60.096,1,0,0,20.23,0.43,CC(C)O
-3.802,1,142.201,0,2,0,0,-3.77,Cc1ccc2ccccc2c1
-2.54,1,208.28,0,0,0,0,-1.9,ClC(Br)Br
-4.854,1,270.372,2,2,5,40.46,-4.43,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
-3.391,1,330.364,0,0,9,71.06,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
-2.887,1,126.586,0,1,1,0,-2.39,ClCc1ccccc1
-0.604,1,70.091,0,0,1,17.07,0.32,C/C=C/C=O
-3.938,1,293.548,1,1,2,41.57,-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
-5.228,1,206.288,0,3,0,0,-6.57,Cc1c2ccccc2c(C)c3ccccc13
-1.899,1,130.187,0,0,4,26.3,-1.87,CCCCCC(=O)OC
-3.831,1,338.795,1,2,2,80.37,-4.328,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C
-2.181,1,153.156,1,1,1,29.1,-1.78,CC(=O)Nc1ccc(F)cc1
-3.319,1,269.772,0,1,6,29.54,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl 
-2.16,2,82.146,0,1,0,0,-2.59,C1CCC=CC1
-3.159,1,362.466,3,4,2,94.83,-3.09,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
-0.884,2,80.09,0,1,0,25.78,1.1,c1cncnc1
-2.901,1,157.556,0,1,1,43.14,-2.92,Clc1ccc(cc1)N(=O)=O
-0.836,1,88.106,0,0,1,26.3,-0.14,CCC(=O)OC
-2.775,1,157.556,0,1,1,43.14,-2.55,Clc1ccccc1N(=O)=O
-4.157,1,275.179,1,1,4,32.34,-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-2.398,1,256.331,1,2,1,69.56,-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
-2.288,1,123.111,0,1,1,43.14,-1.8,O=N(=O)c1ccccc1
-3.8,1,204.01,0,1,0,0,-3.01,Ic1ccccc1
-3.777,1,365.842,2,3,2,92.5,-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O 
-1.428,1,241.243,2,1,6,91.01,-0.985,COc1ccccc1OCC(O)COC(N)=O
-4.347,1,311.853,0,1,9,29.54,-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
-3.144,1,163.003,1,1,0,20.23,-1.3,Oc1cccc(Cl)c1Cl
-1.191,1,102.133,0,0,2,26.3,-1.92,CCCC(=O)OC
-3.644,1,218.083,1,1,2,29.1,-3,CCC(=O)Nc1ccc(Cl)c(Cl)c1
-3.051,1,253.269,3,3,1,129.62,-2.404,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3
-2.254,1,144.214,0,0,5,26.3,-2.35,CCCCCC(=O)OCC
-1.887,1,309.529,3,2,2,88.38,-1.84,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl 
-5.533,1,293.414,0,2,4,27.96,-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
-3.448,1,225.296,2,1,5,71.96,-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-3.073,1,112.216,0,0,5,0,-4.44,CCCCCCC=C
-1.954,1,107.156,1,1,0,26.02,-1.21,Cc1ccc(N)cc1
-1.226,1,100.146,1,1,0,38.91,-0.36,Nc1nccs1 
-1.947,1,151.165,1,1,1,38.33,-1.803,c1ccccc1(OC(=O)NC)
-1.324,1,102.177,1,0,3,20.23,-0.8,CCCC(O)CC
-4.148,1,194.233,1,3,0,20.23,-4.73,c3ccc2c(O)c1ccccc1cc2c3 
-4.87,1,192.261,0,3,0,0,-6.96,Cc1ccc2cc3ccccc3cc2c1
-3.312,1,120.195,0,1,0,0,-3.2,Cc1cccc(C)c1C
-2.677,1,208.261,1,1,2,41.57,-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
-2.387,1,144.258,1,0,6,20.23,-2.74,CCCCCCCC(C)O
-3.863,1,268.36,1,2,3,32.34,-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
-1.266,1,100.161,0,0,3,17.07,-0.83,CCCC(=O)CC
-3.793,1,276.915,1,1,0,44.02,-3.33,Oc1c(Br)cc(C#N)cc1Br 
-5.223,1,223.102,0,2,1,0,-6.39,Clc1ccc(cc1Cl)c2ccccc2 
-4.504,1,298.367,0,3,4,42.43,-4.873,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3
-2.725,1,145.161,1,2,0,33.12,-2.54,Oc1cccc2ncccc12 
-2.927,1,235.308,1,2,2,38.33,-3.14,CC1=C(SCCO1)C(=O)Nc2ccccc2
-3.085,1,258.324,1,2,3,82.28,-3.81,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
-4.835,1,266.338,1,1,0,20.23,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-1.519,1,129.384,0,0,0,0,-0.89,ClCBr
-1.658,1,198.222,1,1,2,66.48,-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
-4.472,1,372.505,0,4,3,60.44,-4.63,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
-1.509,1,150.181,2,1,2,55.12,-0.95,NC(=O)NCc1ccccc1 
-3.048,1,212.68,1,1,1,32.34,-3.483,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
-3.581,1,249.097,1,1,2,41.57,-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-1.7,1,114.188,1,1,0,20.23,-0.88,OC1CCCCCC1
-1.936,1,356.227,3,1,6,103.7,-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl 
-2.96,1,242.344,2,1,4,58.2,-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O 
-0.793,1,222.251,2,1,2,115.04,-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
-2.318,1,139.11,1,1,1,63.37,-0.74,Oc1ccc(cc1)N(=O)=O
-5.511,1,364.914,0,4,0,0,-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
-0.62,2,72.107,0,1,0,9.23,0.49,C1CCOC1
-2.277,1,138.126,1,1,1,69.16,-1.96,Nc1ccccc1N(=O)=O
-6.079,1,291.992,0,2,1,0,-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
-4.076,1,308.381,0,3,5,40.62,-3.81,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 
-2.553,1,182.135,0,1,2,86.28,-3,Cc1c(cccc1N(=O)=O)N(=O)=O
-4.17,1,314.469,0,4,1,34.14,-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
-3.663,1,257.769,0,1,6,45.15,-4.411,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC
-4.365,1,349.066,0,2,3,37.38,-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
-5.144,1,314.802,0,1,0,0,-4.5,c1(Br)c(Br)cc(Br)cc1
-3.517,1,286.718,2,3,1,61.69,-3.952,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O 
-2.415,1,238.287,2,1,5,75.27,-2.356,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
-3.224,1,150.221,1,1,1,20.23,-2.08,c1(O)c(C)ccc(C(C)C)c1
-0.396,1,133.197,1,1,0,29.1,-1.77,C1SC(=S)NC1(=O)
-2.731,1,302.238,5,3,1,131.36,-3.083,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O 
-5.112,1,490.639,0,6,0,17.07,-5.259,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
-3.862,1,296.552,0,0,4,6.48,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
-2.477,2,84.162,0,1,0,0,-3.1,C1CCCCC1
-7.848,1,474.64,0,2,1,0,-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
-3.164,1,196.681,0,1,2,15.6,-2.86,CN(C)C=Nc1ccc(Cl)cc1C
-3.927,1,266.34,1,4,0,37.3,-5.24,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
-2.105,1,130.231,1,0,6,20.23,-2.39,CCCCCCCCO
-1.598,1,90.191,0,0,2,0,-1.34,CCSCC
-1.374,1,98.96,0,0,1,0,-1.06,ClCCCl
-2.278,1,106.596,0,0,1,0,-2.51,CCC(C)(C)Cl
-1.738,1,143.411,0,0,1,0,-1.32,ClCCBr
-1.936,1,138.126,1,1,1,69.16,-2.37,Nc1ccc(cc1)N(=O)=O
1.071,1,342.297,8,2,4,189.53,-0.244,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
-3.125,1,268.32,0,3,2,49.33,-2.86,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 
-2.975,1,112.559,0,1,0,0,-2.38,Clc1ccccc1
-3.427,1,126.243,0,0,6,0,-5.05,CCCCCCCC=C
-4.754,1,282.906,0,1,0,0,-4.56,Brc1ccc(I)cc1
-1.308,1,102.177,1,0,2,20.23,-0.36,CCC(C)(O)CC
-3.899,1,148.249,0,1,4,0,-4.64,CCCCCc1ccccc1
0.652,1,158.117,4,1,1,113.32,-1.6,NC(=O)NC1NC(=O)NC1=O 
-5.052,1,372.808,3,3,6,91.68,-4.571,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
-6.008,1,320.046,0,2,3,0,-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
-4.449,1,330.468,0,4,1,43.37,-5.184,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
-4.063,1,162.619,0,2,0,0,-3.93,Clc1cccc2ccccc12
-4.007,1,252.317,0,3,1,23.55,-4.749,CCN2c1ccccc1N(C)C(=O)c3ccccc23 
-1.324,1,102.177,1,0,3,20.23,-0.89,CCCCC(C)O
-3.16,1,112.216,0,1,2,0,-4.74,CCCC1CCCC1
-3.359,1,244.294,0,2,4,44.12,-4.735,CCOC(=O)c1cncn1C(C)c2ccccc2
-3.352,1,163.003,1,1,0,20.23,-1.25,Oc1ccc(Cl)c(Cl)c1
-6.775,1,416.304,0,3,6,59.32,-8.017,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
-2.214,2,119.123,0,2,0,26.03,-1.16,c2ccc1ocnc1c2
-1.042,1,88.15,1,0,3,20.23,-0.6,CCCCCO
-3.16,1,149.237,0,1,3,3.24,-3.03,CCN(CC)c1ccccc1
-2.636,1,114.094,0,1,0,0,-2,Fc1cccc(F)c1
-0.522,1,89.525,0,0,1,23.79,-0.29,ClCCC#N 
-3.867,1,148.249,0,1,1,0,-4.15,CC(C)(C)Cc1ccccc1
-2.272,1,232.239,2,2,2,75.27,-2.322,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
-4.384,1,238.455,0,1,0,0,-3.54,Clc1ccccc1I
-2.21,2,119.127,1,2,0,41.57,-0.78,c2ccc1[nH]nnc1c2
-3.05,1,221.256,1,2,1,47.56,-2.8,CNC(=O)Oc1cccc2CC(C)(C)Oc12
-2.589,1,122.167,1,1,0,20.23,-1.29,Cc1cccc(C)c1O
-0.954,1,88.15,1,0,1,20.23,-0.18,CC(C)C(C)O
-3.033,1,184.238,1,2,2,20.23,-2.55,c1ccccc1C(O)c2ccccc2
-3.316,1,186.295,0,0,8,26.3,-4.69,CCCCCCCCCC(=O)OC
-4.188,1,297.656,0,1,5,70.83,-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
-2.288,1,137.02,0,0,1,0,-2.43,CC(C)CBr
-2.066,1,155.966,0,0,0,0,-1.6,CCI
-2.34,1,238.291,0,1,2,58.56,-1.95,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
-3.012,1,165.074,0,0,4,0,-3.81,CCCCCCBr
-2.6,1,86.178,0,0,2,0,-3.74,CCCC(C)C
-6.339,1,418.736,0,2,4,26.3,-7.321,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
-3.431,1,283.799,0,1,6,29.54,-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl 
-1.843,1,156.097,1,1,2,88.87,-2.19,ON=Cc1ccc(o1)N(=O)=O 
-8.057,1,502.92,1,3,8,71.35,-8.003,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
-0.674,1,84.082,2,1,0,67.59,0.522,Nc1nc[nH]n1
-2.904,1,252.731,0,0,0,0,-1.91,BrC(Br)Br
-1.866,1,257.437,1,0,3,55.76,-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
-5.024,1,367.816,0,2,7,53.6,-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12
-1.699,1,108.14,1,1,1,20.23,-0.4,OCc1ccccc1
-5.194,1,292.334,1,4,1,50.44,-2.84,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 
-3.132,1,173.009,1,1,0,20.23,-1.09,Oc1ccc(Br)cc1
-1.949,1,122.993,0,0,0,0,-1.59,CC(C)Br
-3.276,1,114.232,0,0,1,0,-4.74,CC(C)CC(C)(C)C
-2.324,1,213.105,0,1,3,129.42,-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
-3.557,1,295.298,0,3,2,75.81,-3.796,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O
-1.553,1,44.097,0,0,0,0,-1.94,CCC
-1.809,1,209.253,2,2,1,95.11,-1.989,Nc1cc(nc(N)n1=O)N2CCCCC2 
-3.542,1,194.237,1,3,0,38.91,-4.22,Nc2cccc3nc1ccccc1cc23 
-6.007,2,252.316,0,5,0,0,-8.49,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
-6.268,1,370.49,1,2,2,20.23,-5.666,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
-3.792,2,154.212,0,3,0,0,-4.63,C1Cc2cccc3cccc1c23
-5.026,1,393.854,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
-4.298,1,235.906,0,1,0,0,-4.07,Brc1ccc(Br)cc1
-3.601,1,261.064,0,2,1,57.14,-2.82,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
-3.701,1,170.211,1,2,1,20.23,-3.48,Oc1ccc(cc1)c2ccccc2
-2.83,1,217.268,1,2,2,38.33,-2.56,CC1=C(CCCO1)C(=O)Nc2ccccc2 
-0.857,1,72.107,0,0,2,9.23,-0.85,CCOC=C
-1.092,1,54.092,0,0,0,0,-1.24,CCC#C
-1.589,1,162.152,0,2,1,60.79,-1.11,COc1ncnc2nccnc12 
-2.017,1,130.231,1,0,4,20.23,-1.6,CCCCC(C)(O)CC
-3.558,1,147.004,0,1,0,0,-3.27,Clc1ccc(Cl)cc1
-2.723,1,324.336,1,3,4,75.71,-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
-1.57,1,361.445,4,1,8,132.12,-1.981,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
-2.981,1,131.178,1,2,0,15.79,-2.42,Cc1c[nH]c2ccccc12 
-1.589,1,162.152,0,2,1,60.79,-1.11,COc2ncc1nccnc1n2
-1.614,1,223.228,1,2,2,56.79,-1.57,CNC(=O)Oc1ccccc1C2OCCO2
-1.508,1,185.227,2,1,2,61.44,-2.15,C1N(C(=O)NCC(C)C)C(=O)NC1
0.152,1,41.053,0,0,0,23.79,0.26,CC#N
-4.662,1,301.342,1,2,7,56.79,-4.7,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
-2.024,1,293.348,1,2,3,89.43,-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
-2.794,1,167.85,0,0,0,0,-2.18,ClCC(Cl)(Cl)Cl
-0.688,1,74.123,1,0,2,20.23,0,CCCCO
-3.779,1,232.327,2,2,2,41.13,-4.11,CC1CCCCC1NC(=O)Nc2ccccc2
-4.159,1,181.449,0,1,0,0,-4.48,Clc1cc(Cl)cc(Cl)c1
-1.391,1,96.085,0,1,1,30.21,-0.1,O=Cc1ccco1
-1.027,1,88.15,1,0,2,20.23,-0.51,CC(C)CCO
-2.033,1,150.133,0,2,1,35.53,-1.63,O=Cc2ccc1OCOc1c2 
-1.573,1,56.108,0,0,0,0,-2.33,CC(=C)C
-1.999,1,106.124,0,1,1,17.07,-1.19,O=Cc1ccccc1
-2.052,1,82.146,0,0,1,0,-2.4,CC(=C)C(=C)C
-5.133,1,410.536,0,2,8,68.31,-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
-2.771,1,226.235,0,3,0,42.43,-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 
-4.125,2,166.223,0,3,0,0,-5,C1c2ccccc2c3ccccc13
-2.891,1,98.189,0,1,0,0,-3.85,CC1CCCCC1
-0.706,1,214.25,4,1,2,122.06,-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
-2.441,1,152.149,1,1,1,46.53,-1.827,COC(=O)c1ccc(O)cc1
-1.034,1,86.134,0,1,0,9.23,0.11,CC1CCCO1
-2.43,1,246.306,0,3,0,43.37,-3.09,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C
-0.975,1,286.28,5,2,4,119.61,-0.85,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
-2.486,1,169.993,0,0,1,0,-2.29,CCCI
-3.43,1,227.337,2,1,5,62.73,-3.04,CCNc1nc(NC(C)C)nc(SC)n1
-0.334,1,60.096,1,0,1,20.23,0.62,CCCO
-3.876,1,330.468,1,4,1,54.37,-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-0.97,1,88.15,1,0,2,20.23,-0.29,CCCC(C)O
-3.148,1,212.248,1,2,3,37.3,-2.85,OC(C(=O)c1ccccc1)c2ccccc2
-2.621,1,122.167,1,1,0,20.23,-1.19,Cc1ccc(O)c(C)c1
-2.901,1,157.556,0,1,1,43.14,-2.77,Clc1cccc(c1)N(=O)=O
-1.192,1,203.245,1,2,1,52.95,-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C
-6.23,1,291.992,0,2,1,0,-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
-4.546,1,260.762,0,0,1,0,-4.92,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl
-3.75,1,241.364,2,1,4,62.73,-4,CCNc1nc(NC(C)(C)C)nc(SC)n1
-1.308,1,102.177,1,0,3,20.23,-0.71,CCC(C)CCO
-1.24,1,146.153,0,2,0,51.56,-0.12,Cc2ncc1nccnc1n2
-4.557,1,337.463,1,5,0,46.26,-5.507,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C
-2.841,1,184.02,0,0,2,0,-2.96,CCCCI
-4.434,1,207.07,0,2,0,0,-4.4,Brc1ccc2ccccc2c1
-5.312,1,780.949,6,8,7,203.06,-4.081,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
-3.099,1,146.111,0,1,0,0,-2.51,FC(F)(F)c1ccccc1
-5.758,1,334.456,0,1,12,52.6,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
-4.597,2,184.263,0,3,0,0,-4.38,c1ccc2c(c1)sc3ccccc23
-6.709,1,326.437,0,2,1,0,-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
-7.192,1,360.882,0,2,1,0,-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
-3.913,1,308.333,1,3,4,67.51,-3.893,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
-2.645,1,214.264,2,2,3,40.46,-1.93,c1ccccc1C(O)C(O)c2ccccc2
-2.347,1,194.186,0,1,2,52.6,-1.66,COC(=O)c1ccccc1C(=O)OC
-2.962,1,172.268,0,0,7,26.3,-3.39,CCCCCCCC(=O)OCC
-2.364,1,122.258,0,0,3,0,-2.42,CCSSCC
-0.833,1,118.176,0,0,5,18.46,-0.77,CCOCCOCC
-4.621,1,215.894,0,1,0,0,-5.56,Clc1cc(Cl)c(Cl)cc1Cl
-2.613,1,184.242,2,2,1,52.04,-2.7,Nc1ccc(cc1)c2ccc(N)cc2
